Finger length in cm!
Left hand,,,,,Right hand,,,,,last digit of post code
L1,L2,L3,L4,L5,R1,R2,R3,R4,R5,PLZ
5.2000000000000002,6.2999999999999998,7.2999999999999998,6,5.5,5.2000000000000002,6.5,7,6,5,9
6,7.2999999999999998,8.0999999999999996,7.2000000000000002,6,6,7.2999999999999998,8.0999999999999996,7.2000000000000002,6,5
5.9000000000000004,7.0999999999999996,8,7.0999999999999996,7,6.2000000000000002,7.0999999999999996,7.7000000000000002,7.4000000000000004,7,8
5.9000000000000004,7.2999999999999998,8,6.9000000000000004,5.4000000000000004,5.9000000000000004,6.9000000000000004,7.2000000000000002,6.4000000000000004,5.2000000000000002,5
5.5,6.7000000000000002,7,6.2999999999999998,5.5,5.5999999999999996,6.7999999999999998,7.2999999999999998,6.4000000000000004,5.5,7
4.5,6.2999999999999998,6.5999999999999996,5.7999999999999998,4.7999999999999998,4.4000000000000004,6.2999999999999998,6.5,6,5.0999999999999996,3
5.5,6.7000000000000002,7.4000000000000004,7,5.7999999999999998,5.5,6.7000000000000002,7.5,6.9000000000000004,5.5999999999999996,6
4.7999999999999998,6.5,7,6.0999999999999996,5,4.7000000000000002,6.9000000000000004,7.0999999999999996,6.4000000000000004,4.7999999999999998,3
5.7000000000000002,7.4000000000000004,8.5,7.2999999999999998,6.5999999999999996,5.5999999999999996,7.2000000000000002,8.4000000000000004,7.0999999999999996,6.5999999999999996,7
5.2000000000000002,7.5,8.1999999999999993,7.4000000000000004,5.9000000000000004,5.2000000000000002,7.4000000000000004,8,7.4000000000000004,6,7
6.2999999999999998,7.4000000000000004,8.3000000000000007,7.0999999999999996,6.2000000000000002,6.4000000000000004,7.4000000000000004,8.1999999999999993,7.0999999999999996,6.2000000000000002,5
6.5,8,9,8,8,7,9,10,8,9,7
6,7,8,7,5.5,6,7,8.5,7,5.5,2
6,6.9000000000000004,7.7999999999999998,7.0999999999999996,6.7000000000000002,5.7999999999999998,6.7000000000000002,7.5999999999999996,6.2999999999999998,5.5,5
6.7999999999999998,8,8.5,7.5999999999999996,6,6.7000000000000002,8,8.5999999999999996,7.7999999999999998,6,5
4.5,5.2000000000000002,6,5.0999999999999996,4.0999999999999996,4.2000000000000002,5.2999999999999998,6.2000000000000002,4.9000000000000004,4.0999999999999996,105
6.2999999999999998,8,8.8000000000000007,7.7999999999999998,6.5,6.2000000000000002,8.0999999999999996,129.5,7.4000000000000004,6.7000000000000002,
5.2000000000000002,6.5,7.4000000000000004,6.5,5,,,,,,
6.2000000000000002,7.5,8.4000000000000004,7.5,6.5,6.0999999999999996,7.5999999999999996,8,7.2000000000000002,6.0999999999999996,2
5.2000000000000002,6.5,7.4000000000000004,6.9000000000000004,6.0999999999999996,5.4000000000000004,6.7999999999999998,8,7.2000000000000002,6.2000000000000002,9
4.7999999999999998,5.7000000000000002,7.2999999999999998,7,5.2999999999999998,4.5999999999999996,6,7.2000000000000002,6.7000000000000002,5.2000000000000002,5
6.2000000000000002,7.5,8.1999999999999993,7.0999999999999996,7,6,7,7.5,7,6,1
5.2999999999999998,7,7.4000000000000004,7,5.5,5.2000000000000002,7.0999999999999996,7.7000000000000002,7,5.5999999999999996,7
6.2000000000000002,7.2999999999999998,8.1999999999999993,6.7999999999999998,6.2999999999999998,6.2999999999999998,7.2999999999999998,7.9000000000000004,6.9000000000000004,6.0999999999999996,7
6,7,8,7,6,6,7,8,7,6,
5.5,7,7.5,6.5,5,5,7,7.2999999999999998,6.5,5,9
4.9000000000000004,6.2000000000000002,6.9000000000000004,6.2999999999999998,5.5999999999999996,5,6.4000000000000004,6.7999999999999998,6.2999999999999998,5.5,1
4.7999999999999998,6,6.9000000000000004,6.5,5,4.5999999999999996,6.2000000000000002,6.7999999999999998,6.0999999999999996,5.0999999999999996,6
6.5,7.7000000000000002,8.6999999999999993,8.0999999999999996,7.2000000000000002,6.5,7.5999999999999996,8.8000000000000007,8,7.0999999999999996,8,
5.7000000000000002,7.2000000000000002,7.9000000000000004,7,6.7999999999999998,5.9000000000000004,7.2000000000000002,8,7.7999999999999998,6.4000000000000004,1,
6,8.0999999999999996,8.1999999999999993,7.5999999999999996,5.2000000000000002,8.1999999999999993,7.5,8,7.7000000000000002,5.5,9,
5.7000000000000002,6.7999999999999998,7.7999999999999998,7.0999999999999996,5.4000000000000004,5.5999999999999996,6.9000000000000004,8,7,5.2999999999999998,3,
5.7000000000000002,7.0999999999999996,7.9000000000000004,7,5.5,5.7000000000000002,7,7.7000000000000002,6.9000000000000004,5.5999999999999996,5,
7,9.5,10,9.5,7,7,9.5,9.8000000000000007,8,7,5,
5.0999999999999996,6.2000000000000002,7.0999999999999996,6.5,5.2000000000000002,5,6,7.2000000000000002,6,5.2000000000000002,4,
7,8.5,9.4000000000000004,8.5,7,7,8.5,9,8.3000000000000007,7,7,
5.7000000000000002,7.5,8,7,6,5.5,,,,,,
