"","date","county","state","fips","cases","deaths"
"101","2020-03-30","Suffolk city","Virginia",51800,3,0
"102","2020-03-30","Williamsburg city","Virginia",51830,7,1
"103","2020-03-30","York","Virginia",51199,11,0
"104","2020-03-31","Chesapeake city","Virginia",51550,23,0
"105","2020-03-31","Gloucester","Virginia",51073,7,0
"106","2020-03-31","Isle of Wight","Virginia",51093,4,0
"107","2020-03-31","James City","Virginia",51095,89,3
"108","2020-03-31","Mathews","Virginia",51115,2,0
"109","2020-03-31","Norfolk city","Virginia",51710,27,0
"110","2020-03-31","Suffolk city","Virginia",51800,4,0
"111","2020-03-31","Surry","Virginia",51181,1,0
"112","2020-03-31","Williamsburg city","Virginia",51830,8,1
"113","2020-03-31","York","Virginia",51199,14,0
"114","2020-04-01","Chesapeake city","Virginia",51550,31,0
"115","2020-04-01","Gloucester","Virginia",51073,8,0
"116","2020-04-01","Isle of Wight","Virginia",51093,5,0
"117","2020-04-01","James City","Virginia",51095,95,3
"118","2020-04-01","Mathews","Virginia",51115,2,0
"119","2020-04-01","Norfolk city","Virginia",51710,33,0
"120","2020-04-01","Suffolk city","Virginia",51800,6,0
"121","2020-04-01","Surry","Virginia",51181,1,0
"122","2020-04-01","Williamsburg city","Virginia",51830,9,1
"123","2020-04-01","York","Virginia",51199,16,0
"124","2020-04-02","Chesapeake city","Virginia",51550,39,0
"125","2020-04-02","Gloucester","Virginia",51073,8,0
"126","2020-04-02","Isle of Wight","Virginia",51093,8,0
"127","2020-04-02","James City","Virginia",51095,97,3
"128","2020-04-02","Mathews","Virginia",51115,2,0
"129","2020-04-02","Norfolk city","Virginia",51710,37,0
"130","2020-04-02","Suffolk city","Virginia",51800,6,0
"131","2020-04-02","Surry","Virginia",51181,1,0
"132","2020-04-02","Williamsburg city","Virginia",51830,9,1
"133","2020-04-02","York","Virginia",51199,17,0
"134","2020-04-03","Chesapeake city","Virginia",51550,50,1
"135","2020-04-03","Gloucester","Virginia",51073,8,0
"136","2020-04-03","Isle of Wight","Virginia",51093,11,0
"137","2020-04-03","James City","Virginia",51095,104,3
"138","2020-04-03","Mathews","Virginia",51115,2,0
"139","2020-04-03","Norfolk city","Virginia",51710,43,1
"140","2020-04-03","Suffolk city","Virginia",51800,10,0
"141","2020-04-03","Surry","Virginia",51181,3,0
"142","2020-04-03","Williamsburg city","Virginia",51830,9,1
"143","2020-04-03","York","Virginia",51199,17,0
"144","2020-04-04","Chesapeake city","Virginia",51550,65,1
"145","2020-04-04","Gloucester","Virginia",51073,9,0
"146","2020-04-04","Isle of Wight","Virginia",51093,18,0
"147","2020-04-04","James City","Virginia",51095,111,3
"148","2020-04-04","Mathews","Virginia",51115,2,0
"149","2020-04-04","Norfolk city","Virginia",51710,55,1
"150","2020-04-04","Suffolk city","Virginia",51800,20,0
"151","2020-04-04","Surry","Virginia",51181,3,0
"152","2020-04-04","Williamsburg city","Virginia",51830,10,1
"153","2020-04-04","York","Virginia",51199,19,0
"154","2020-04-05","Chesapeake city","Virginia",51550,72,1
"155","2020-04-05","Gloucester","Virginia",51073,10,0
"156","2020-04-05","Isle of Wight","Virginia",51093,18,0
"157","2020-04-05","James City","Virginia",51095,117,3
"158","2020-04-05","Mathews","Virginia",51115,2,0
"159","2020-04-05","Norfolk city","Virginia",51710,59,1
"160","2020-04-05","Suffolk city","Virginia",51800,22,0
"161","2020-04-05","Surry","Virginia",51181,3,0
"162","2020-04-05","Williamsburg city","Virginia",51830,12,1
"163","2020-04-05","York","Virginia",51199,20,0
"164","2020-04-06","Chesapeake city","Virginia",51550,77,1
"165","2020-04-06","Gloucester","Virginia",51073,12,0
"166","2020-04-06","Isle of Wight","Virginia",51093,22,0
"167","2020-04-06","James City","Virginia",51095,118,3
"168","2020-04-06","Mathews","Virginia",51115,2,0
"169","2020-04-06","Norfolk city","Virginia",51710,60,1
"170","2020-04-06","Suffolk city","Virginia",51800,28,0
"171","2020-04-06","Surry","Virginia",51181,3,0
"172","2020-04-06","Williamsburg city","Virginia",51830,13,1
"173","2020-04-06","York","Virginia",51199,21,0
"174","2020-04-07","Chesapeake city","Virginia",51550,80,1
"175","2020-04-07","Gloucester","Virginia",51073,15,0
"176","2020-04-07","Isle of Wight","Virginia",51093,23,0
"177","2020-04-07","James City","Virginia",51095,119,3
"178","2020-04-07","Mathews","Virginia",51115,2,0
"179","2020-04-07","Norfolk city","Virginia",51710,72,1
"180","2020-04-07","Suffolk city","Virginia",51800,30,0
"181","2020-04-07","Surry","Virginia",51181,3,0
"182","2020-04-07","Williamsburg city","Virginia",51830,14,1
"183","2020-04-07","York","Virginia",51199,25,1
"184","2020-04-08","Chesapeake city","Virginia",51550,99,1
"185","2020-04-08","Gloucester","Virginia",51073,16,0
"186","2020-04-08","Isle of Wight","Virginia",51093,23,0
"187","2020-04-08","James City","Virginia",51095,122,3
"188","2020-04-08","Mathews","Virginia",51115,2,0
"189","2020-04-08","Norfolk city","Virginia",51710,77,1
"190","2020-04-08","Suffolk city","Virginia",51800,31,0
"191","2020-04-08","Surry","Virginia",51181,3,0
"192","2020-04-08","Williamsburg city","Virginia",51830,16,1
"193","2020-04-08","York","Virginia",51199,25,1
"194","2020-04-09","Chesapeake city","Virginia",51550,101,1
"195","2020-04-09","Gloucester","Virginia",51073,16,0
"196","2020-04-09","Isle of Wight","Virginia",51093,24,0
"197","2020-04-09","James City","Virginia",51095,123,3
"198","2020-04-09","Mathews","Virginia",51115,2,0
"199","2020-04-09","Norfolk city","Virginia",51710,84,1
"200","2020-04-09","Suffolk city","Virginia",51800,31,0
"201","2020-04-09","Surry","Virginia",51181,3,0
"202","2020-04-09","Williamsburg city","Virginia",51830,16,1
"203","2020-04-09","York","Virginia",51199,25,1
"204","2020-04-10","Chesapeake city","Virginia",51550,109,1
"205","2020-04-10","Gloucester","Virginia",51073,18,0
"206","2020-04-10","Isle of Wight","Virginia",51093,24,0
"207","2020-04-10","James City","Virginia",51095,125,3
"208","2020-04-10","Mathews","Virginia",51115,2,0
"209","2020-04-10","Norfolk city","Virginia",51710,88,1
"210","2020-04-10","Suffolk city","Virginia",51800,35,0
"211","2020-04-10","Surry","Virginia",51181,3,0
"212","2020-04-10","Williamsburg city","Virginia",51830,17,1
"213","2020-04-10","York","Virginia",51199,25,1
"214","2020-04-11","Chesapeake city","Virginia",51550,115,1
"215","2020-04-11","Gloucester","Virginia",51073,20,0
"216","2020-04-11","Isle of Wight","Virginia",51093,28,0
"217","2020-04-11","James City","Virginia",51095,126,3
"218","2020-04-11","Mathews","Virginia",51115,2,0
"219","2020-04-11","Norfolk city","Virginia",51710,90,1
"220","2020-04-11","Suffolk city","Virginia",51800,40,0
"221","2020-04-11","Surry","Virginia",51181,3,0
"222","2020-04-11","Williamsburg city","Virginia",51830,17,1
"223","2020-04-11","York","Virginia",51199,27,1
"224","2020-04-12","Chesapeake city","Virginia",51550,121,1
"225","2020-04-12","Gloucester","Virginia",51073,20,0
"226","2020-04-12","Isle of Wight","Virginia",51093,31,0
"227","2020-04-12","James City","Virginia",51095,126,3
"228","2020-04-12","Mathews","Virginia",51115,2,0
"229","2020-04-12","Norfolk city","Virginia",51710,90,1
"230","2020-04-12","Suffolk city","Virginia",51800,48,0
"231","2020-04-12","Surry","Virginia",51181,3,0
"232","2020-04-12","Williamsburg city","Virginia",51830,17,1
"233","2020-04-12","York","Virginia",51199,29,1
"234","2020-04-13","Chesapeake city","Virginia",51550,126,1
"235","2020-04-13","Gloucester","Virginia",51073,20,0
"236","2020-04-13","Isle of Wight","Virginia",51093,33,0
"237","2020-04-13","James City","Virginia",51095,126,3
"238","2020-04-13","Mathews","Virginia",51115,3,0
"239","2020-04-13","Norfolk city","Virginia",51710,99,1
"240","2020-04-13","Suffolk city","Virginia",51800,51,0
"241","2020-04-13","Surry","Virginia",51181,3,0
"242","2020-04-13","Williamsburg city","Virginia",51830,20,1
"243","2020-04-13","York","Virginia",51199,33,1
"244","2020-04-14","Chesapeake city","Virginia",51550,136,3
"245","2020-04-14","Gloucester","Virginia",51073,20,0
"246","2020-04-14","Isle of Wight","Virginia",51093,60,0
"247","2020-04-14","James City","Virginia",51095,128,3
"248","2020-04-14","Mathews","Virginia",51115,3,0
"249","2020-04-14","Norfolk city","Virginia",51710,97,1
"250","2020-04-14","Suffolk city","Virginia",51800,57,0
"251","2020-04-14","Surry","Virginia",51181,3,0
"252","2020-04-14","Williamsburg city","Virginia",51830,20,1
"253","2020-04-14","York","Virginia",51199,35,1
"254","2020-04-15","Chesapeake city","Virginia",51550,140,3
"255","2020-04-15","Gloucester","Virginia",51073,20,0
"256","2020-04-15","Isle of Wight","Virginia",51093,60,0
"257","2020-04-15","James City","Virginia",51095,132,3
"258","2020-04-15","Mathews","Virginia",51115,3,0
"259","2020-04-15","Norfolk city","Virginia",51710,99,1
"260","2020-04-15","Suffolk city","Virginia",51800,59,0
"261","2020-04-15","Surry","Virginia",51181,3,0
"262","2020-04-15","Williamsburg city","Virginia",51830,19,1
"263","2020-04-15","York","Virginia",51199,35,1
"264","2020-04-16","Chesapeake city","Virginia",51550,143,3
"265","2020-04-16","Gloucester","Virginia",51073,20,0
"266","2020-04-16","Isle of Wight","Virginia",51093,63,0
"267","2020-04-16","James City","Virginia",51095,135,3
"268","2020-04-16","Mathews","Virginia",51115,3,0
"269","2020-04-16","Norfolk city","Virginia",51710,105,1
"270","2020-04-16","Suffolk city","Virginia",51800,65,0
"271","2020-04-16","Surry","Virginia",51181,3,0
"272","2020-04-16","Williamsburg city","Virginia",51830,19,1
"273","2020-04-16","York","Virginia",51199,37,1
